"loading","measurement_17","measurement_6","measurement_5","measurement_7","attribute_0","measurement_4","attribute_1","product_code","measurement_14","measurement_13","measurement_8","measurement_15","attribute_2","measurement_3","measurement_9","measurement_10","failure"
84.89,682.057,17.893,17.717,12.748,7,11.54,8,0,15.425,14.732,17.889,14.395,9,18.213,12.448,17.947,0
101.07,826.282,18.339,18.576,12.583,7,11.188,8,0,15.562,15.25,19.06,16.154,9,17.295,12.471,16.346,0
188.06,579.885,15.746,16.99,11.306,7,12.95,8,0,12.76,16.182,18.093,13.153,9,19.346,10.337,17.082,0
177.92,684,15.894,17.879,11.029,7,13.634,8,0,16.968,15.624,18.643,15.176,9,17.062,10.254,16.449,1
175.38,792.591,16.338,18.377,10.019,7,11.507,8,0,15.355,14.659,20.242,15.175,9,17.029,11.309,16.31,1
232.58,858.722,17.204,17.69,13.086,7,12.056,8,0,14.75,14.801,20.228,12.762,9,19.107,11.528,15.631,0
159.19,798.38,18.527,16.867,10.917,7,12.031,8,0,14.877,16.132,20.341,15.291,9,19.71,9.902,14.803,1
196.51,661.16,17.409,16.716,12.387,7,10.843,8,0,15.169,17.08,18.819,13.471,9,18.982,12.103,17.901,0
72.72,692.561,15.278,18.701,11.261,7,12.777,8,0,15.82,16.055,18.415,16.836,9,17.397,11.707,14.205,0
86.18,654.072,17.777,16.635,12.407,7,10.736,8,0,16.884,16.385,18.683,14.036,9,18.344,11.203,17.655,0
82.16,738.721,17.855,17.442,13.384,7,11.915,8,0,15.589,15.949,18.585,14.923,9,18.843,12.452,16.514,0
155.62,967.106,17.863,18.873,14.084,7,11.435,8,0,14.305,13.19,20.294,14.985,9,17.79,11.487,14.801,0
118.12,845.997,18.758,18.077,10.785,7,11.105,8,0,14.083,13.276,20.167,13.104,9,17.894,10.953,16.132,0
223.36,708.199,18.569,16.376,12.231,7,13.045,8,0,14.154,14.46,18.92,14.642,9,18.801,12.328,17.217,0
102.42,521.457,15.471,18.175,11.653,7,11.01,8,0,16.577,13.948,16.77,13.717,9,17.041,11.897,14.883,0
186.71,645.405,17.843,15.741,12.421,7,9.107,8,0,18.647,16.334,19.547,13.182,9,17.58,9.666,16.274,1
182.71,707.166,18.048,17.647,11.491,7,11.279,8,0,18.725,16.305,18.681,13.322,9,17.886,10.905,15.34,0
