FamilySize,Survived,wc,FP,FS
2,0,0,108.25,0.5
2,1,2,327.55,0.5
3,1,2,104.7111,1
3,1,1,106.5666667,1
1,0,0,109.05,0.5
7,0,0,105.4678571,0.5
1,0,1,108.8542,0.5
1,1,0,214,0.5
7,1,2,105.4839286,0.5
2,1,2,349.8402667,0.5
2,0,0,342.0854,0.5
2,1,1,106.62085,1
2,0,2,110.475,0.5
2,0,2,211.5,0.5
1,1,2,108.75,0.5
3,0,0,108.2264,0.5
6,0,1,106.6696429,0
1,1,2,211.5,0.5
1,0,0,108.2292,0.5
2,0,0,342.7375,0.5
1,1,2,211.5,0.5
1,0,0,211.5,0.5
1,0,0,108.8958,0.5
1,1,2,107.2375,0.5
1,1,0,110.5,0.5
1,1,2,108.7875,0.5
1,1,2,211.5,0.5
4,1,2,108.925,0.5
1,0,0,109.05,0.5
1,0,0,109.05,0.5
2,0,0,331.5875,0.5
4,0,0,106.14375,0.5
1,0,0,335.6542,0.5
2,1,0,332.67915,0.5
2,0,0,339.64375,0.5
3,0,0,108.925,0.5
1,0,0,327,0.5
2,0,1,108.2271,0
1,0,0,109.05,0.5
2,0,2,110.825,0
1,0,0,108.925,0.5
1,0,0,109.05,0.5
2,1,1,106.62085,1
3,1,2,327.2833,0.5
1,0,0,107.75,0.5
1,0,0,212.5,0.5
3,0,0,210.1875,0.5
1,1,0,108.7958,0.5
3,0,0,209.6666667,0.5
1,0,0,109.05,0.5
3,0,0,105.8333333,0.5
6,0,1,106.6696429,0
6,0,2,105.65,0
1,0,0,326.925,0.5
1,0,0,108.061975,0.5
6,0,1,105.8541667,0
3,0,0,108.8542,0.5
1,0,0,101,0.5
1,0,0,216.05,0.5
4,1,1,210.75,1
1,0,0,351,0.5
1,1,2,349.8402667,0.5
1,1,2,108.75,0.5
11,0,0,107.3227273,0.5
1,1,0,109.05,0.5
2,0,1,106.23125,0
1,0,0,108.05,0.5
2,0,0,214.5,0.5
1,0,0,211.5,0.5
1,0,0,214,0.5
1,0,0,109.05,0.5
1,0,0,110.35,0.5
1,0,0,108.25,0.5
1,0,0,214,0.5
5,0,1,106.09334,0
1,0,0,108.775,0.5
7,1,1,105.4839286,0.5
1,0,0,211.5,0.5
1,0,0,108.125,0.5
1,0,0,108.225,0.5
1,0,2,108.775,0.5
3,1,2,208.25,1
1,0,0,108.25,0.5
7,1,1,105.4839286,0.5
1,0,0,211.5,0.5
