"","Age","Sex","Survived"
"1",22,"male",0
"2",38,"female",1
"3",26,"female",1
"4",35,"female",1
"5",35,"male",0
"6",30.1516245487365,"male",0
"7",54,"male",0
"8",2,"male",0
"9",27,"female",1
"10",14,"female",1
"11",4,"female",1
"12",58,"female",1
"13",20,"male",0
"14",39,"male",0
"15",14,"female",0
"16",55,"female",1
"17",2,"male",0
"18",30.1516245487365,"male",1
"19",31,"female",0
"20",30.1516245487365,"female",1
"21",35,"male",0
"22",34,"male",1
"23",15,"female",1
"24",28,"male",1
"25",8,"female",0
"26",38,"female",1
"27",30.1516245487365,"male",0
"28",19,"male",0
"29",24.063829787234,"female",1
"30",30.1516245487365,"male",0
"31",40,"male",0
"32",42.0173267326733,"female",1
"33",24.063829787234,"female",1
"34",66,"male",0
"35",28,"male",0
"36",42,"male",0
"37",30.1516245487365,"male",1
"38",21,"male",0
"39",18,"female",0
"40",14,"female",1
"41",40,"female",0
"42",27,"female",0
"43",30.1516245487365,"male",0
"44",3,"female",1
"45",19,"female",1
"46",30.1516245487365,"male",0
"47",30.1516245487365,"male",0
"48",24.063829787234,"female",1
"49",30.1516245487365,"male",0
"50",18,"female",0
"51",7,"male",0
"52",21,"male",0
"53",49,"female",1
"54",29,"female",1
"55",65,"male",0
"56",42.0173267326733,"male",1
"57",21,"female",1
"58",28.5,"male",0
"59",5,"female",1
"60",11,"male",0
"61",22,"male",0
"62",38,"female",1
"63",45,"male",0
"64",4,"male",0
"65",42.0173267326733,"male",0
"66",7.72877358490566,"male",1
"67",29,"female",1
"68",19,"male",0
"69",17,"female",1
"70",26,"male",0
"71",32,"male",0
"72",16,"female",0
"73",21,"male",0
"74",26,"male",0
"75",32,"male",1
"76",25,"male",0
"77",30.1516245487365,"male",0
"78",30.1516245487365,"male",0
"79",0.83,"male",1
"80",30,"female",1
"81",22,"male",0
"82",29,"male",1
"83",24.063829787234,"female",1
"84",28,"male",0
"85",17,"female",1
"86",33,"female",1
"87",16,"male",0
"88",30.1516245487365,"male",0
"89",23,"female",1
"90",24,"male",0
"91",29,"male",0
"92",20,"male",0
"93",46,"male",0
"94",26,"male",0
"95",59,"male",0
"96",30.1516245487365,"male",0
"97",71,"male",0
"98",23,"male",1
"99",34,"female",1
"100",34,"male",0
"101",28,"female",0
"102",30.1516245487365,"male",0
"103",21,"male",0
"104",33,"male",0
"105",37,"male",0
"106",28,"male",0
"107",21,"female",1
"108",30.1516245487365,"male",1
"109",38,"male",0
"110",24.063829787234,"female",1
"111",47,"male",0
"112",14.5,"female",0
"113",22,"male",0
"114",20,"female",0
"115",17,"female",0
"116",21,"male",0
"117",70.5,"male",0
"118",29,"male",0
"119",24,"male",0
"120",2,"female",0
"121",21,"male",0
"122",30.1516245487365,"male",0
"123",32.5,"male",0
"124",32.5,"female",1
"125",54,"male",0
"126",12,"male",1
"127",30.1516245487365,"male",0
"128",24,"male",1
"129",7.72877358490566,"female",1
"130",45,"male",0
"131",33,"male",0
"132",20,"male",0
"133",47,"female",0
"134",29,"female",1
"135",25,"male",0
"136",23,"male",0
"137",19,"female",1
"138",37,"male",0
"139",16,"male",0
"140",24,"male",0
"141",30.1516245487365,"female",0
"142",22,"female",1
"143",24,"female",1
"144",19,"male",0
"145",18,"male",0
"146",19,"male",0
"147",27,"male",1
"148",9,"female",0
"149",36.5,"male",0
"150",42,"male",0
"151",51,"male",0
"152",22,"female",1
"153",55.5,"male",0
"154",40.5,"male",0
"155",30.1516245487365,"male",0
"156",51,"male",0
"157",16,"female",1
"158",30,"male",0
"159",30.1516245487365,"male",0
"160",7.72877358490566,"male",0
"161",44,"male",0
"162",40,"female",1
"163",26,"male",0
"164",17,"male",0
"165",1,"male",0
"166",9,"male",1
"167",42.0173267326733,"female",1
"168",45,"female",0
"169",42.0173267326733,"male",0
"170",28,"male",0
"171",61,"male",0
"172",4,"male",0
"173",1,"female",1
"174",21,"male",0
"175",56,"male",0
"176",18,"male",0
"177",7.72877358490566,"male",0
"178",50,"female",0
"179",30,"male",0
"180",36,"male",0
"181",7.72877358490566,"female",0
"182",30.1516245487365,"male",0
"183",9,"male",0
"184",1,"male",1
"185",4,"female",1
